  time         acel
6814.99   3.79399999
6818.87   2.47730000
6829.88   0.35760000
6831.53   0.34109997
6839.19   1.02859998
6845.20   1.03850000
6849.20   1.98780001
6850.12   1.07920003
6852.44   4.25599996
6855.89   2.03950003
6859.80   4.42210000
6862.50   3.65429999
6864.50   4.21749996
6868.49   3.30229997
6870.31   3.70930002
6872.14   3.47719996
6874.14   4.10090000
6876.14   3.09110002
6880.14   2.17699999
6882.14   0.81299995
6884.14   4.28460004
6888.15   2.82709998
6896.15   2.16160004
6898.15   1.80300001
6906.16   1.70289997
6910.16   1.47850000
6912.16   2.30240000
6914.16   1.78319997
6917.95   1.99770003
6918.44   1.72270000
6920.44   3.41009998
6922.96   1.67869996
6926.96   2.77760000
6930.97   0.79209995
6932.97   1.13860003
6934.97   0.89549999
6936.66   1.30030000
6940.66   1.33770003
6944.66   5.17119995
6948.67   2.88210000
6950.67   5.47149995
6952.45   5.10739998
6953.82   5.39230002
6955.31   4.54420001
6956.29   4.82030000
6958.07   1.97020002
6958.80   3.35069998
6962.80   3.30889998
6966.74   3.32540001
6968.58   2.92720001
6973.77   2.13299995
6975.65   1.90970005
6976.90   2.15279999
6978.85   1.52360001
6983.18   3.42439997
6985.18   2.66540001
6995.59   0.24100004
7003.06   1.35970000
7004.96   2.35410002
7008.14   0.77560003
7009.79   1.09459999
7013.27   1.30469997
7017.16   2.94480001
7019.04   1.15730000
7022.29   1.42790005
7024.29   0.77119995
7026.29   2.69179995
7030.07   1.80409997
7032.03   5.06340004
7033.32   4.80379997
7035.32   5.26030000
7037.29   4.53760000
7040.97   3.80499997
7042.97   3.52450001
7044.95   3.81269995
7046.81   3.40019997
7048.81   3.64439997
7050.30   3.27920003
7052.08   3.51680003
7052.57   3.26709998
7054.57   3.54760005
7054.81   1.20240000
7057.81   1.61380002
7061.81   1.77219999
7066.12   1.13309999
7070.59   1.30360001
7073.09   1.43230002
7073.91   0.53140002
7075.65   2.93269995
7079.46   0.41369999
7080.95   1.69959997
7086.88   2.27269995
7091.99   1.34979998
7097.76   2.18799998
7098.48   2.54439997
7100.48   1.82060000
7104.48   1.87009998
7106.48   1.21560003
7112.45   0.92739998
7114.45   0.74589998
7116.45   1.68090000
7120.45   1.74799998
7122.45   1.89099998
7124.45   0.55560003
7126.46   2.86340004
7128.46   1.76889998
7132.46   3.29239995
7136.46   0.41920003
7138.46   0.90319997
7140.46   0.65899996
7142.47   1.57860003
7150.47   1.08799998
7152.47   2.78750001
7155.50   1.88220004
7157.51   3.20550004
7159.51   1.90640004
7161.51   4.35389996
7163.51   0.25860003
7165.31   0.55560003
7167.30   0.32240000
7169.30   2.69179995
7173.29   0.67219999
7177.80   0.35650003
7185.77   1.56430004
7191.30   0.19260002
7192.63  -0.10880005
7194.55   0.25419996
7200.46   3.21539996
7210.39   0.82180000
7216.31   1.16060000
7218.30   2.79740003
7222.16   1.72270000
7226.05   4.55959997
7229.76   2.02850005
7231.32   2.26610004
7232.48   1.55329995
7235.86   1.92070004
7237.77   1.26949998
7239.77   2.02300001
7241.38   1.64900002
7246.32   2.16270000
7247.69   0.98130004
7250.44   1.04619998
7259.82   1.84810001
7263.74   5.36370004
7266.49   2.14289997
7268.69   2.74240000
7270.83   1.92730005
7272.83   2.24300001
7273.67   1.37950003
7275.04   2.90079997
7276.89   1.38720001
7277.54   3.77309999
7283.48   1.43119995
7287.48   3.49039998
7289.35   1.44439997
7291.27   1.87230002
7293.19   1.47740003
7295.04   2.49159999
7298.85   3.38040003
7306.21   1.89429999
7309.80   1.99000005
7315.45   0.99119995
7321.45   1.82610004
7325.45   3.09549999
7329.46   1.94709998
7335.46   2.18910005
7339.37   2.34310004
7341.90   4.51230002
7343.81   2.46630001
7347.81   3.72139997
7351.19   3.47059995
7358.51   1.41470002
7362.46   1.54780001
7364.45   1.97790000
7366.32   1.05279999
7368.24   3.35290002
7372.09   1.38610004
7376.08   3.61359996
7379.89   1.81839996
7383.89   2.72480001
7387.89   0.88889998
7389.81   1.21890003
7391.76   0.98679998
7393.54   3.47830003
7397.52   0.92739998
7399.42   5.22180000
7401.41   4.86210000
7403.38   5.22619998
7405.37   1.70949998
7407.29   4.67069998
7409.25   4.38360001
7411.21   4.61350002
7413.15   2.75449996
7416.79   2.83039998
7418.46   1.78319997
7421.95   1.24090000
7423.94   0.94390001
7425.94   1.47299995
7429.57   1.54450001
7435.77   1.23760000
7443.80   1.45209995
7445.80   2.16049997
7449.76   1.59730000
7451.76   2.33869996
7453.71   1.09899996
7455.41   2.30679998
7456.77   1.10889998
7462.68   2.53119995
7466.50   1.73260002
7470.48   1.19689996
